item,type,kanji,earn_rate,earning,area,ken,station
イカずし屋,食品,1000万円,800万円,80%,東北,青森県,むつ
海軍コロッケ屋,食品,1000万円,500万円,50%,東北,青森県,むつ
フライボール屋,食品,1000万円,500万円,50%,東北,青森県,むつ
飲むヨーグルト工場,食品,3億円,2100万円,7%,東北,青森県,むつ
若生おにぎり屋,食品,1000万円,800万円,80%,東北,青森県,金木
若生おにぎり屋,食品,1000万円,800万円,80%,東北,青森県,金木
津軽三味線スナック,食品,3000万円,1500万円,50%,東北,青森県,金木
地吹雪ツアー会社,観光,1億円,200万円,2%,東北,青森県,金木
斜陽記念館,観光,14億円,2800万円,2%,東北,青森県,金木
南部せんべい屋,食品,1000万円,800万円,80%,東北,青森県,三戸
飲むヨーグルト工場,食品,10億円,2億5000万円,25%,東北,青森県,三戸
サクランボ農園,農林,8000万円,800万円,10%,東北,青森県,三戸
サクランボ農園,農林,8000万円,800万円,10%,東北,青森県,三戸
サクランボ農園,農林,8000万円,800万円,10%,東北,青森県,三戸
菜の花ドーナツ屋,食品,1000万円,500万円,50%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
菜の花畑,農林,8000万円,400万円,5%,東北,青森県,菜の花
南部せんべい屋,食品,1000万円,500万円,50%,東北,青森県,八戸
南部せんべい屋,食品,1000万円,500万円,50%,東北,青森県,八戸
バナナサイダー工場,食品,3億円,900万円,3%,東北,青森県,八戸
みろく横丁,食品,8億円,2400万円,3%,東北,青森県,八戸
駅前観光物産館,商業,10億円,2000万円,2%,東北,青森県,八戸
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
にんにく畑,農林,8000万円,800万円,10%,東北,青森県,田子
ウニ丼屋,食品,5000万円,5000万円,100%,東北,岩手県,久慈
まめぶ汁屋,食品,1000万円,800万円,80%,東北,岩手県,久慈
まめぶ汁屋,食品,1000万円,800万円,80%,東北,岩手県,久慈
ナポリタン屋,食品,1000万円,500万円,50%,東北,岩手県,久慈
琥珀採掘場,工業,5000万円,250万円,5%,東北,岩手県,久慈
コッペパン屋,食品,1000万円,800万円,80%,東北,岩手県,盛岡
わんこそば屋,食品,1000万円,800万円,80%,東北,岩手県,盛岡
わんこそば屋,食品,1000万円,800万円,80%,東北,岩手県,盛岡
わんこそば屋,食品,1000万円,800万円,80%,東北,岩手県,盛岡
じゃじゃ麺屋,食品,1000万円,700万円,70%,東北,岩手県,盛岡
南部せんべい屋,食品,1000万円,250万円,25%,東北,岩手県,盛岡
盛岡冷麺屋,食品,1億円,200万円,2%,東北,岩手県,盛岡
ウニ丼屋,食品,1000万円,800万円,80%,東北,岩手県,大船渡
ウニ丼屋,食品,1000万円,800万円,80%,東北,岩手県,大船渡
さんまラーメン屋,食品,1000万円,500万円,50%,東北,岩手県,大船渡
アワビ漁,水産,1億円,400万円,4%,東北,岩手県,大船渡
アワビ漁,水産,1億円,400万円,4%,東北,岩手県,大船渡
わんこそば屋,食品,1000万円,700万円,70%,東北,岩手県,花巻
わんこそば屋,食品,1000万円,700万円,70%,東北,岩手県,花巻
宮沢賢治グッズ屋,観光,1億円,2000万円,20%,東北,岩手県,花巻
ほろほろ鳥農場,農林,3億円,300万円,1%,東北,岩手県,花巻
花巻温泉郷,観光,20億円,2000万円,1%,東北,岩手県,花巻
河童伝説グッズ屋,観光,1000万円,500万円,50%,東北,岩手県,遠野
遠野物語グッズ屋,観光,1000万円,500万円,50%,東北,岩手県,遠野
ひっつみ料理屋,食品,1000万円,500万円,50%,東北,岩手県,遠野
ジンギスカン鍋屋,食品,1億円,300万円,3%,東北,岩手県,遠野
ジンギスカン鍋屋,食品,1億円,300万円,3%,東北,岩手県,遠野
渦巻かりんとう屋,食品,1000万円,500万円,50%,東北,岩手県,釜石
釜石ラーメン屋,食品,1000万円,500万円,50%,東北,岩手県,釜石
海鮮漬け屋,食品,3億円,3600万円,12%,東北,岩手県,釜石
鉄の記念館,観光,20億円,2000万円,1%,東北,岩手県,釜石
製鉄工場,工業,4000億円,40億円,1%,東北,岩手県,釜石
藤原三代グッズ屋,観光,3000万円,1500万円,50%,東北,岩手県,平泉
前沢牛料理屋,食品,8億円,3200万円,4%,東北,岩手県,平泉
前沢牛料理屋,食品,8億円,3200万円,4%,東北,岩手県,平泉
中尊寺グッズ屋,観光,1億円,200万円,2%,東北,岩手県,平泉
秀衡塗り工房,商業,4億円,800万円,2%,東北,岩手県,平泉
女川海鮮丼,食品,1000万円,1000万円,100%,東北,宮城県,女川
笹かまぼこ屋,食品,1000万円,1000万円,100%,東北,宮城県,女川
笹かまぼこ屋,食品,1000万円,1000万円,100%,東北,宮城県,女川
サンマ漁船団,水産,10億円,2000万円,2%,東北,宮城県,女川
サンマ漁船団,水産,10億円,2000万円,2%,東北,宮城県,女川
ずんだ餅屋,食品,1000万円,1000万円,100%,東北,宮城県,仙台
仙台駄菓子屋,食品,5000万円,2500万円,50%,東北,宮城県,仙台
仙台牛屋,食品,4億円,2800万円,7%,東北,宮城県,仙台
牛たん屋,食品,1億円,500万円,5%,東北,宮城県,仙台
プロ野球チーム,観光,70億円,1億4000万円,2%,東北,宮城県,仙台
ＬＥＤ会社,商業,420億円,8億4000万円,2%,東北,宮城県,仙台
石油工場,工業,60億円,6000万円,1%,東北,宮城県,仙台
牡蠣丼,食品,1000万円,1000万円,100%,東北,宮城県,松島
牡蠣丼,食品,1000万円,1000万円,100%,東北,宮城県,松島
牡蠣バーガー,食品,1000万円,800万円,80%,東北,宮城県,松島
牡蠣バーガー,食品,1000万円,800万円,80%,東北,宮城県,松島
島巡り遊覧船,観光,1000万円,500万円,50%,東北,宮城県,松島
ふかひれラーメン屋,食品,1000万円,800万円,80%,東北,宮城県,気仙沼
ふかひれラーメン屋,食品,1000万円,800万円,80%,東北,宮城県,気仙沼
ハモニカ飯弁当,食品,1000万円,500万円,50%,東北,宮城県,気仙沼
ふかひれ姿煮屋,食品,2億円,400万円,2%,東北,宮城県,気仙沼
ふかひれ姿煮屋,食品,2億円,400万円,2%,東北,宮城県,気仙沼
ゆりあげ赤貝屋,食品,1000万円,800万円,80%,東北,宮城県,名取
ゆりあげ赤貝屋,食品,1000万円,800万円,80%,東北,宮城県,名取
ミガキイチゴ農園,農林,1億円,800万円,8%,東北,宮城県,名取
ミガキイチゴ農園,農林,1億円,800万円,8%,東北,宮城県,名取
ミガキイチゴ農園,農林,1億円,800万円,8%,東北,宮城県,名取
カーネーション園,農林,5000万円,250万円,5%,東北,宮城県,名取
カーネーション園,農林,5000万円,250万円,5%,東北,宮城県,名取
カーネーション園,農林,5000万円,250万円,5%,東北,宮城県,名取
尿前の関グッズ屋,観光,1000万円,500万円,50%,東北,宮城県,鳴子
栗だんご屋,食品,1000万円,250万円,25%,東北,宮城県,鳴子
鳴子こけし工房,商業,1億円,500万円,5%,東北,宮城県,鳴子
鳴子こけし工房,商業,1億円,500万円,5%,東北,宮城県,鳴子
鳴子温泉卿,観光,100億円,1億円,1%,東北,宮城県,鳴子
中華麺焼きそば屋,食品,1000万円,500万円,50%,東北,宮城県,石巻
中華麺焼きそば屋,食品,1000万円,500万円,50%,東北,宮城県,石巻
笹かまぼこ屋,食品,1000万円,500万円,50%,東北,宮城県,石巻
イワシ漁船団,水産,6億円,1800万円,3%,東北,宮城県,石巻
漫画ランド,観光,19億円,1900万円,1%,東北,宮城県,石巻
ひとめぼれ水田,農林,5000万円,500万円,10%,東北,宮城県,登米
ひとめぼれ水田,農林,5000万円,500万円,10%,東北,宮城県,登米
カレー工場,食品,20億円,6000万円,3%,東北,宮城県,登米
電子マネー工場,工業,7000億円,140億円,2%,東北,宮城県,登米
明治ロマンの町並み,観光,60億円,6000万円,1%,東北,宮城県,登米
ばばへらアイス屋,食品,100万円,100万円,100%,東北,秋田県,秋田
いなにわうどん屋,食品,1000万円,700万円,70%,東北,秋田県,秋田
いなにわうどん屋,食品,1000万円,700万円,70%,東北,秋田県,秋田
しょっつる鍋屋,食品,3000万円,1500万円,50%,東北,秋田県,秋田
きりたんぽ鍋屋,食品,5000万円,2500万円,50%,東北,秋田県,秋田
いぶりがっこ屋,食品,1000万円,250万円,25%,東北,秋田県,秋田
アキタコマチ水田,農林,5000万円,250万円,5%,東北,秋田県,秋田
アキタコマチ水田,農林,5000万円,250万円,5%,東北,秋田県,秋田
横手焼きそば屋,食品,1000万円,800万円,80%,東北,秋田県,横手
横手焼きそば屋,食品,1000万円,800万円,80%,東北,秋田県,横手
横手焼きそば屋,食品,1000万円,800万円,80%,東北,秋田県,横手
豆腐カステラ屋,食品,1000万円,500万円,50%,東北,秋田県,横手
かまくらの町並み,観光,20億円,4000万円,2%,東北,秋田県,横手
しだれ桜グッズ屋,観光,1000万円,500万円,50%,東北,秋田県,角館
生もろこし屋,食品,1000万円,500万円,50%,東北,秋田県,角館
樺細工工房,商業,1億円,100万円,1%,東北,秋田県,角館
樺細工工房,商業,1億円,100万円,1%,東北,秋田県,角館
武家屋敷群,観光,20億円,2000万円,1%,東北,秋田県,角館
弁慶めし屋,食品,1000万円,800万円,80%,東北,山形県,酒田
ワンタンメン屋,食品,1000万円,800万円,80%,東北,山形県,酒田
庄内柿園,農林,5000万円,400万円,8%,東北,山形県,酒田
庄内柿園,農林,5000万円,400万円,8%,東北,山形県,酒田
苅屋梨園,農林,5000万円,250万円,5%,東北,山形県,酒田
舟入り米倉庫群,観光,100億円,4億円,4%,東北,山形県,酒田
写真家記念館,観光,20億円,2000万円,1%,東北,山形県,酒田
しそ巻き屋,食品,1000万円,800万円,80%,東北,山形県,鶴岡
からからせんべい屋,食品,1000万円,250万円,25%,東北,山形県,鶴岡
だだちゃ豆畑,農林,8000万円,800万円,10%,東北,山形県,鶴岡
だだちゃ豆畑,農林,8000万円,800万円,10%,東北,山形県,鶴岡
つや姫水田,農林,1億円,1000万円,10%,東北,山形県,鶴岡
つや姫水田,農林,1億円,1000万円,10%,東北,山形県,鶴岡
つや姫水田,農林,1億円,1000万円,10%,東北,山形県,鶴岡
加茂クラゲ水族館,観光,30億円,9000万円,3%,東北,山形県,鶴岡
冷やしラーメン屋,食品,1000万円,800万円,80%,東北,山形県,山形
サクランボ農園,農林,5000万円,250万円,5%,東北,山形県,山形
サクランボ農園,農林,5000万円,250万円,5%,東北,山形県,山形
ラ・フランス園,農林,8000万円,400万円,5%,東北,山形県,山形
イモ煮屋,食品,1億円,400万円,4%,東北,山形県,山形
イモ煮屋,食品,1億円,400万円,4%,東北,山形県,山形
でんすけ豆工場,食品,4億円,800万円,2%,東北,山形県,山形
そんぴんラーメン屋,食品,1000万円,500万円,50%,東北,山形県,米沢
上杉鷹山グッズ屋,観光,3000万円,1500万円,50%,東北,山形県,米沢
紅花畑,農林,8000万円,400万円,5%,東北,山形県,米沢
紅花畑,農林,8000万円,400万円,5%,東北,山形県,米沢
米沢牛屋,食品,4億円,1600万円,4%,東北,山形県,米沢
サクランボ農園,農林,1億円,700万円,7%,東北,山形県,天童
ラ・フランス園,農林,1億円,700万円,7%,東北,山形県,天童
ラ・フランス園,農林,1億円,700万円,7%,東北,山形県,天童
将棋の駒工場,商業,2億円,200万円,1%,東北,山形県,天童
将棋の駒工場,商業,2億円,200万円,1%,東北,山形県,天童
クリームボックス屋,食品,1000万円,1000万円,100%,東北,福島県,郡山
クリームボックス屋,食品,1000万円,1000万円,100%,東北,福島県,郡山
薄皮まんじゅう屋,食品,1000万円,800万円,80%,東北,福島県,郡山
薄皮まんじゅう屋,食品,1000万円,800万円,80%,東北,福島県,郡山
ミルク餡和菓子屋,食品,1000万円,800万円,80%,東北,福島県,郡山
牛乳クランチ屋,食品,1000万円,500万円,50%,東北,福島県,郡山
牛乳クランチ屋,食品,1000万円,500万円,50%,東北,福島県,郡山
リチウム電池工場,工業,40億円,4000万円,1%,東北,福島県,郡山
ソースかつ丼屋,食品,1000万円,800万円,80%,東北,福島県,会津若松
ソースかつ丼屋,食品,1000万円,800万円,80%,東北,福島県,会津若松
ソースかつ丼屋,食品,1000万円,800万円,80%,東北,福島県,会津若松
白虎隊グッズ屋,観光,1000万円,500万円,50%,東北,福島県,会津若松
赤べこ屋,観光,1億円,100万円,1%,東北,福島県,会津若松
赤べこ屋,観光,1億円,100万円,1%,東北,福島県,会津若松
会津漆器工房,商業,5億円,500万円,1%,東北,福島県,会津若松
会津漆器工房,商業,5億円,500万円,1%,東北,福島県,会津若松
喜多方ラーメン屋,食品,1000万円,700万円,70%,東北,福島県,喜多方
喜多方ラーメン屋,食品,1000万円,700万円,70%,東北,福島県,喜多方
喜多方ラーメン屋,食品,1000万円,700万円,70%,東北,福島県,喜多方
喜多方ラーメン屋,食品,1000万円,700万円,70%,東北,福島県,喜多方
喜多方ラーメン屋,食品,1000万円,700万円,70%,東北,福島県,喜多方
メヒカリ料理屋,食品,1000万円,500万円,50%,東北,福島県,いわき
メヒカリ料理屋,食品,1000万円,500万円,50%,東北,福島県,いわき
流し台工場,工業,100億円,2億円,2%,東北,福島県,いわき
化学工場,工業,40億円,4000万円,1%,東北,福島県,いわき
ハワイアンセンター,観光,80億円,8000万円,1%,東北,福島県,いわき
桃園,農林,5000万円,400万円,8%,東北,福島県,福島
桃園,農林,5000万円,400万円,8%,東北,福島県,福島
桃園,農林,5000万円,400万円,8%,東北,福島県,福島
キュウリ畑,農林,5000万円,250万円,5%,東北,福島県,福島
あんぽ柿園,農林,5000万円,250万円,5%,東北,福島県,福島
あんぽ柿園,農林,5000万円,250万円,5%,東北,福島県,福島
ガラス繊維工場,工業,200億円,2億円,1%,東北,福島県,福島
干しいも屋,食品,1000万円,500万円,50%,関東,茨城県,ひたちなか
納豆カツ屋,食品,1000万円,500万円,50%,関東,茨城県,ひたちなか
ネモフィラの丘,観光,10億円,1億円,10%,関東,茨城県,ひたちなか
あんこう鍋屋,食品,1億円,400万円,4%,関東,茨城県,ひたちなか
半導体工場,工業,25億円,7500万円,3%,関東,茨城県,ひたちなか
エレベーター工場,工業,31億円,9300万円,3%,関東,茨城県,ひたちなか
総合電機メーカー,工業,82億円,2億4600万円,3%,関東,茨城県,ひたちなか
魚市場,水産,14億円,2800万円,2%,関東,茨城県,ひたちなか
笠間そば屋,食品,1000万円,500万円,50%,関東,茨城県,笠間
栗林,農林,8000万円,800万円,10%,関東,茨城県,笠間
栗林,農林,8000万円,800万円,10%,関東,茨城県,笠間
笠間焼き工房,商業,1億円,100万円,1%,関東,茨城県,笠間
笠間焼き工房,商業,1億円,100万円,1%,関東,茨城県,笠間
けんちんそば,食品,1000万円,500万円,50%,関東,茨城県,水戸
水戸光圀グッズ屋,観光,3000万円,1500万円,50%,関東,茨城県,水戸
のし梅屋,食品,1000万円,250万円,25%,関東,茨城県,水戸
アンコウ鍋屋,食品,1億円,200万円,2%,関東,茨城県,水戸
納豆工場,食品,2億円,400万円,2%,関東,茨城県,水戸
納豆工場,食品,2億円,400万円,2%,関東,茨城県,水戸
紅梅公園,観光,100億円,1億円,1%,関東,茨城県,水戸
家電量販店,商業,130億円,1億3000万円,1%,関東,茨城県,水戸
レンコンどらやき屋,食品,1000万円,500万円,50%,関東,茨城県,土浦
レンコンラーメン屋,食品,1000万円,250万円,25%,関東,茨城県,土浦
レンコン畑,農林,1億円,100万円,1%,関東,茨城県,土浦
レンコン畑,農林,1億円,100万円,1%,関東,茨城県,土浦
レンコン畑,農林,1億円,100万円,1%,関東,茨城県,土浦
あんこう鍋屋,食品,8000万円,800万円,10%,関東,茨城県,北茨城
あんこう鍋屋,食品,8000万円,800万円,10%,関東,茨城県,北茨城
あんこう鍋屋,食品,8000万円,800万円,10%,関東,茨城県,北茨城
思索の六角堂,観光,1億円,300万円,3%,関東,茨城県,北茨城
五浦温泉,観光,10億円,3000万円,3%,関東,茨城県,北茨城
じゃが芋焼きそば屋,食品,1000万円,800万円,80%,関東,栃木県,栃木
じゃが芋焼きそば屋,食品,1000万円,800万円,80%,関東,栃木県,栃木
スカイベリー園,農林,5億円,4000万円,8%,関東,栃木県,栃木
スカイベリー園,農林,5億円,4000万円,8%,関東,栃木県,栃木
とちおとめイチゴ園,農林,3億円,1200万円,4%,関東,栃木県,栃木
とちおとめイチゴ園,農林,3億円,1200万円,4%,関東,栃木県,栃木
かんぴょう畑,農林,1億円,300万円,3%,関東,栃木県,栃木
小江戸の町並み,観光,50億円,1億5000万円,3%,関東,栃木県,栃木
釜めし屋,食品,1000万円,700万円,70%,関東,栃木県,那須
とちおとめ園,農林,5000万円,400万円,8%,関東,栃木県,那須
とちおとめ園,農林,5000万円,400万円,8%,関東,栃木県,那須
スカイベリー園,農林,5億円,4000万円,8%,関東,栃木県,那須
エリンギ栽培,農林,5000万円,250万円,5%,関東,栃木県,那須
観光牧場,観光,5億円,1000万円,2%,関東,栃木県,那須
別荘現地販売所,商業,1億円,100万円,1%,関東,栃木県,那須
乳牛牧場,農林,4億円,400万円,1%,関東,栃木県,那須
ギョーザ屋,食品,1000万円,500万円,50%,関東,栃木県,宇都宮
ギョーザ屋,食品,1000万円,500万円,50%,関東,栃木県,宇都宮
ギョーザ屋,食品,1000万円,500万円,50%,関東,栃木県,宇都宮
ギョーザ屋,食品,1000万円,500万円,50%,関東,栃木県,宇都宮
ギョーザ屋,食品,1000万円,500万円,50%,関東,栃木県,宇都宮
かんぴょう畑,農林,5000万円,250万円,5%,関東,栃木県,宇都宮
かんぴょう畑,農林,5000万円,250万円,5%,関東,栃木県,宇都宮
かんぴょう畑,農林,5000万円,250万円,5%,関東,栃木県,宇都宮
みそパン屋,食品,1000万円,1000万円,100%,関東,群馬県,沼田
みそパン屋,食品,1000万円,1000万円,100%,関東,群馬県,沼田
みそパン屋,食品,1000万円,1000万円,100%,関東,群馬県,沼田
だんご汁屋,食品,1000万円,800万円,80%,関東,群馬県,沼田
バウムクーヘン屋,食品,1億円,300万円,3%,関東,群馬県,沼田
鳥めし弁当屋,食品,1000万円,800万円,80%,関東,群馬県,高崎
焼きまんじゅう屋,食品,1000万円,800万円,80%,関東,群馬県,高崎
焼きまんじゅう屋,食品,1000万円,800万円,80%,関東,群馬県,高崎
オランダコロッケ屋,食品,3000万円,2400万円,80%,関東,群馬県,高崎
パスタ屋,食品,1億円,200万円,2%,関東,群馬県,高崎
パスタ屋,食品,1億円,200万円,2%,関東,群馬県,高崎
ビジネスホテル,観光,8億円,1600万円,2%,関東,群馬県,高崎
ホッチキス工場,工業,130億円,1億3000万円,1%,関東,群馬県,高崎
イチゴもんじゃ屋,食品,1000万円,800万円,80%,関東,群馬県,前橋
イチゴもんじゃ屋,食品,1000万円,800万円,80%,関東,群馬県,前橋
おっきりこみ屋,食品,1000万円,500万円,50%,関東,群馬県,前橋
即席めん工場,食品,5億円,5000万円,10%,関東,群馬県,前橋
家電量販店,商業,650億円,13億円,2%,関東,群馬県,前橋
子供洋食屋,食品,1000万円,800万円,80%,関東,群馬県,桐生
桐生うどん屋,食品,1000万円,500万円,50%,関東,群馬県,桐生
桐生うどん屋,食品,1000万円,500万円,50%,関東,群馬県,桐生
ひもかわうどん屋,食品,1000万円,500万円,50%,関東,群馬県,桐生
ひもかわうどん屋,食品,1000万円,500万円,50%,関東,群馬県,桐生
二輪モーター屋,工業,20億円,6000万円,3%,関東,群馬県,桐生
パチンコ機器工場,工業,50億円,5000万円,1%,関東,群馬県,桐生
舞茸うどん屋,食品,1000万円,500万円,50%,関東,群馬県,草津
高原キャベツ畑,農林,1億円,300万円,3%,関東,群馬県,草津
スキー場,観光,100億円,3億円,3%,関東,群馬県,草津
温泉旅館,観光,4億円,800万円,2%,関東,群馬県,草津
湯畑の町並み,観光,50億円,1億円,2%,関東,群馬県,草津
いなり寿司屋,食品,1000万円,1000万円,100%,関東,埼玉県,熊谷
五家宝屋,食品,1000万円,800万円,80%,関東,埼玉県,熊谷
五家宝屋,食品,1000万円,800万円,80%,関東,埼玉県,熊谷
磁石工場,工業,25億円,7500万円,3%,関東,埼玉県,熊谷
セメント工場,工業,860億円,25億8000万円,3%,関東,埼玉県,熊谷
豚の味噌煮込み屋,食品,1000万円,1000万円,100%,関東,埼玉県,秩父
みそポテト屋,食品,1000万円,500万円,50%,関東,埼玉県,秩父
くるみ味噌焼き鳥屋,食品,1000万円,500万円,50%,関東,埼玉県,秩父
ワイン工場,食品,5億円,1500万円,3%,関東,埼玉県,秩父
セメント工場,工業,300億円,9億円,3%,関東,埼玉県,秩父
煮ぼうとう屋,食品,1000万円,500万円,50%,関東,埼玉県,深谷
煮ぼうとう屋,食品,1000万円,500万円,50%,関東,埼玉県,深谷
アイス工場,食品,10億円,2億円,20%,関東,埼玉県,深谷
トウモロコシ畑,農林,1億円,1000万円,10%,関東,埼玉県,深谷
トウモロコシ畑,農林,1億円,1000万円,10%,関東,埼玉県,深谷
トウモロコシ畑,農林,1億円,1000万円,10%,関東,埼玉県,深谷
深谷ネギ畑,農林,8000万円,640万円,8%,関東,埼玉県,深谷
深谷ネギ畑,農林,8000万円,640万円,8%,関東,埼玉県,深谷
草加せんべい屋,食品,1000万円,500万円,50%,関東,埼玉県,さいたま
草加せんべい屋,食品,1000万円,500万円,50%,関東,埼玉県,さいたま
鉄道記念館,観光,100億円,2億円,2%,関東,埼玉県,さいたま
サッカースタジアム,観光,200億円,2億円,1%,関東,埼玉県,さいたま
多目的アリーナ,観光,400億円,4億円,1%,関東,埼玉県,さいたま
ピーナッツソフト屋,食品,1000万円,2000万円,200%,関東,千葉県,館山
ピーナッツソフト屋,食品,1000万円,2000万円,200%,関東,千葉県,館山
くじら弁当屋,食品,1000万円,1000万円,100%,関東,千葉県,館山
さんが焼き屋,食品,1000万円,500万円,50%,関東,千葉県,館山
びわ畑,農林,8000万円,400万円,5%,関東,千葉県,館山
びわ畑,農林,8000万円,400万円,5%,関東,千葉県,館山
リゾートホテル,観光,80億円,8000万円,1%,関東,千葉県,館山
ゴルフ場,観光,100億円,1億円,1%,関東,千葉県,館山
ばしっしーグッズ屋,商業,1000万円,1000万円,100%,関東,千葉県,船橋
ソースラーメン屋,食品,1000万円,500万円,50%,関東,千葉県,船橋
ソースラーメン屋,食品,1000万円,500万円,50%,関東,千葉県,船橋
ソースラーメン屋,食品,1000万円,500万円,50%,関東,千葉県,船橋
競馬場,観光,29億円,8700万円,3%,関東,千葉県,船橋
ベイホテル,観光,10億円,2000万円,2%,関東,千葉県,船橋
ビール園,食品,100億円,2億円,2%,関東,千葉県,船橋
ショッピングモール,商業,366億円,7億3200万円,2%,関東,千葉県,船橋
ぬれせんべい屋,食品,1000万円,1000万円,100%,関東,千葉県,銚子
ぬれせんべい屋,食品,1000万円,1000万円,100%,関東,千葉県,銚子
漁師のプリン屋,食品,3000万円,1500万円,50%,関東,千葉県,銚子
魚市場,水産,4億円,400万円,1%,関東,千葉県,銚子
サンマ漁船団,水産,9億円,900万円,1%,関東,千葉県,銚子
醤油工場,食品,10億円,1000万円,1%,関東,千葉県,銚子
醤油工場,食品,10億円,1000万円,1%,関東,千葉県,銚子
ピーナッツもなか屋,食品,1000万円,800万円,80%,関東,千葉県,佐原
ピーナッツもなか屋,食品,1000万円,800万円,80%,関東,千葉県,佐原
ピーナッツもなか屋,食品,1000万円,800万円,80%,関東,千葉県,佐原
伊能忠敬グッズ屋,観光,3000万円,1500万円,50%,関東,千葉県,佐原
伊能忠敬博物館,観光,10億円,1000万円,1%,関東,千葉県,佐原
サーフィンショップ,商業,3000万円,1500万円,50%,関東,千葉県,鴨川
サーフィンショップ,商業,3000万円,1500万円,50%,関東,千葉県,鴨川
サーフィンショップ,商業,3000万円,1500万円,50%,関東,千葉県,鴨川
黄金風呂ホテル,観光,20億円,2000万円,1%,関東,千葉県,鴨川
鴨川シャチワールド,観光,40億円,4000万円,1%,関東,千葉県,鴨川
落花生畑,農林,1億円,700万円,7%,関東,千葉県,千葉
棚卸し専門店,商業,6億円,3000万円,5%,関東,千葉県,千葉
美術館,観光,8億円,4000万円,5%,関東,千葉県,千葉
製鉄所,工業,200億円,2億円,1%,関東,千葉県,千葉
製鉄所,工業,200億円,2億円,1%,関東,千葉県,千葉
製鉄所,工業,200億円,2億円,1%,関東,千葉県,千葉
コンビナート,工業,400億円,4億円,1%,関東,千葉県,千葉
火力発電所,工業,800億円,8億円,1%,関東,千葉県,千葉
スタートトゥモロウ,商業,8000億円,400億円,5%,関東,千葉県,幕張
東京ネズミーランド,観光,5500億円,220億円,4%,関東,千葉県,幕張
イベント会場,商業,40億円,1億2000万円,3%,関東,千葉県,幕張
イベント会場,商業,40億円,1億2000万円,3%,関東,千葉県,幕張
東京ネズミーシー,観光,8000億円,240億円,3%,関東,千葉県,幕張
プロ野球チーム,観光,30億円,6000万円,2%,関東,千葉県,幕張
ホテル,観光,80億円,8000万円,1%,関東,千葉県,幕張
ホテル,観光,80億円,8000万円,1%,関東,千葉県,幕張
ひれかつ卵サンド屋,食品,1000万円,3000万円,300%,関東,東京都,東京
エキナカ商業施設,商業,40億円,1億2000万円,3%,関東,東京都,東京
証券会社,商業,50億円,1億円,2%,関東,東京都,東京
証券会社,商業,50億円,1億円,2%,関東,東京都,東京
超丸デパート,商業,1000億円,20億円,2%,関東,東京都,東京
深夜高速バス会社,観光,200億円,2億円,1%,関東,東京都,東京
まるまるビル,商業,800億円,8億円,1%,関東,東京都,東京
小倉アイス屋,食品,1億円,2億円,200%,関東,東京都,上野
ドラ焼き屋,食品,1億円,8000万円,80%,関東,東京都,上野
とんかつ屋,食品,3億円,3000万円,10%,関東,東京都,上野
動物園,観光,80億円,1億6000万円,2%,関東,東京都,上野
デパート,商業,60億円,6000万円,1%,関東,東京都,上野
美術館,観光,100億円,1億円,1%,関東,東京都,上野
美術館,観光,100億円,1億円,1%,関東,東京都,上野
博物館,観光,200億円,2億円,1%,関東,東京都,上野
タピオカティー屋,食品,1億円,1億円,100%,関東,東京都,原宿
